Incident Date,ID,District,Bias Code,Bias Code2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects less than 18 years old,# Suspects 18-35 years old,# Suspects 36-45 years old,# Suspects 46-55 years old,# Suspects >55 years old,Unknown
02/20/2018,180008956,3D,32 - Anti-Hispanic,,Vandalism,OPEN,,Society,,,,,,,X
10/03/2018,180049428,4D,12 - Anti-Black,,Written Intimidation,CLOSED - ADMIN,,School/College,1,1,,,,,
11/09/2018,180056319,4D,43 - Anti-Homosexual,,Verbal Intimidation,N/A,1,Individual(s),1,1,,,,,
06/16/2016,16031655,2D,24 - Anti-Islamic,,Assault (physical),CLOSED - ARREST,1,Individual(s),1,,1,,,,
12/14/2018,180062542,2D,12 - Anti-Black,,Other,N/A,,School/College,,,,,,,X
12/27/2016,16066413,6D,32 - Anti-Hispanic,,Verbal Intimidation,CLOSED - ARREST,1,Individual(s),1,,,1,,,
12/11/2018,180062118,2D,21 - Anti-Jewish,,Written Intimidation,OPEN,,Religious Organization,,,,,,,X
01/23/2018,180003892,2D,12 - Anti-Black,,Harassing Communication,CLOSED - ARREST,1,Individual(s),1,,,1,,,
10/16/2018,180051896,2D,43 - Anti-Homosexual,,Written Intimidation,OPEN,2,Individual(s),1,,1,,,,
03/25/2016,16014707,TPPD,12 - Anti-Black,,Verbal Intimidation,CLOSED - ARREST,1,Individual(s),1,,,,1,,
01/12/2019,190004730,3D,43 - Anti-Homosexual,,Flyer left behind,N/A,,Society,,,,,,,X
07/01/2018,180032468,5D,24 - Anti-Islamic,,Vandalism,INACTIVE,1,Individual(s),,,,,,,X
01/28/2018,180004831,RCPD,72 - Anti Gender Non-conforming,,Damage property,CLOSED - ARREST,1,Individual(s),1,,1,,,,
09/11/2016,16046525,6D,43 - Anti-Homosexual,,Assault (physical),CLOSED - ARREST,1,Individual(s),,,,,,,X
08/10/2019,190038139,2D,43 - Anti-Homosexual,,Vandalism,OPEN,2,Individual(s),,,,,,,X
08/04/2019,190037127,4D,12 - Anti-Black,,Vandalism,CLOSED - ADMIN,1,Individual(s),,,,,,,X
07/24/2019,190035257,4D,21 - Anti-Jewish,,Vandalism,N/A,,Society,,,,,,,X
08/26/2019,190040984,4D,21 - Anti-Jewish,,Vandalism,OPEN,,Other,,,,,,,X
07/31/2019,190036323,5D,12 - Anti-Black,,Verbal Intimidation,OPEN,1,Individual(s),,,,,,,X
08/27/2019,190041063,5D,15 - Anti-Multi-Racial,,Written Intimidation,N/A,,Business/ Financial Institution,,,,,,,X
08/11/2019,190038334,6D,12 - Anti-Black,,Verbal Intimidation,N/A,1,Individual(s),,,,,,,X
08/28/2019,190041233,RCPD,33 - Anti-Other Ethnicity,,Verbal Intimidation,OPEN,1,Individual(s),1,,,,,1,
08/08/2019,190037812,5D,11 - Anti-White,,Assault (physical),CLOSED - ADMIN,1,Individual(s),1,,1,,,,
08/31/2019,190041672,TPPD,43 - Anti-Homosexual,,Vandalism,OPEN,1,Individual(s),,,,,,,X
08/09/2019,190038025,RCPD,12 - Anti-Black,,Written Intimidation,N/A,,Society,,,,,,,X
11/21/2019,190056448,2D,21 - Anti-Jewish,,Vandalism,N/A,1,Individual(s),1,1,,,,,
11/22/2019,190057278,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
11/01/2019,190056339,2D,12 - Anti-Black,,Verbal Intimidation,OPEN,1,Individual(s),1,1,,,,,
11/08/2019,190054013,6D,12 - Anti-Black,,Vandalism,OPEN,1,Individual(s),,,,,,,X
06/29/2019,190031014,4D,25 - Anti-Other Religion,,Vandalism,INACTIVE,,Religious Organization,,,,,,,X
06/28/2019,190030993,1D,12 - Anti-Black,,Vandalism,INACTIVE,,Other,,,,,,,X
12/05/2019,190058606,4D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
12/12/2019,190059858,RCPD,12 - Anti-Black,,Verbal Intimidation,OPEN,,Business/ Financial Institution,1,,,,,1,
05/06/2019,190021275,5D,71 - Anti-Transgender,,Vandalism,CLOSED - ADMIN,,Business/ Financial Institution,5,5,,,,,
12/15/2019,190060496,2D,71 - Anti-Transgender,,Assault (simple),OPEN,1,Individual(s),1,,,,,1,
03/25/2019,190013820,2D,12 - Anti-Black,,Verbal Intimidation,INACTIVE,1,Individual(s),1,,,,1,,
07/17/2019,190033954,4D,12 - Anti-Black,,Written Intimidation,INACTIVE,1,Individual(s),,,,,,,X
01/18/2020,200003031,RCPD,12 - Anti-Black,,Assault (simple),OPEN,1,Individual(s),1,,,,1,,
01/07/2020,200001072,TPPD,21 - Anti-Jewish,,Assault (Intimidation),OPEN,1,Individual(s),,1,,,,1,
01/14/2020,200002368,4D,24 - Anti-Islamic,,Written Intimidation,N/A,1,Individual(s),,,,,,,X
01/04/2020,200001627,4D,21 - Anti-Jewish,15 - Anti-Multi-Racial,Flyer left behind,N/A,,Society,,,,,,,X
01/03/2020,200000380,TPPD,43 - Anti-Homosexual,,Vandalism,OPEN,1,Individual(s),3,,,,,,X
